--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9533
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8386
demo_image/demo_9.jpg    	bally                    	0.7566
demo_image/demo_10.jpg   	university               	0.9998
demo_image/demo_11.jpg   	alithletop               	0.0369
demo_image/demo_12.jpg   	abc                      	1.0000
demo_image/demo_13.jpg   	thebodyshop              	0.9983
demo_image/demo_14.jpg   	cafrepascucci            	0.4003
demo_image/demo_15.jpg   	mart                     	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9533
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8386
demo_image/demo_9.jpg    	bally                    	0.7566
demo_image/demo_10.jpg   	university               	0.9998
demo_image/demo_11.jpg   	alithletop               	0.0369
demo_image/demo_12.jpg   	abc                      	1.0000
demo_image/demo_13.jpg   	thebodyshop              	0.9983
demo_image/demo_14.jpg   	cafrepascucci            	0.4003
demo_image/demo_15.jpg   	mart                     	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9533
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8386
demo_image/demo_9.jpg    	bally                    	0.7566
demo_image/demo_10.jpg   	university               	0.9998
demo_image/demo_11.jpg   	alithletop               	0.0369
demo_image/demo_12.jpg   	abc                      	1.0000
demo_image/demo_13.jpg   	thebodyshop              	0.9983
demo_image/demo_14.jpg   	cafrepascucci            	0.4003
demo_image/demo_15.jpg   	mart                     	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9533
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8386
demo_image/demo_9.jpg    	bally                    	0.7566
demo_image/demo_10.jpg   	university               	0.9998
demo_image/demo_11.jpg   	alithletop               	0.0369
demo_image/demo_12.jpg   	abc                      	1.0000
demo_image/demo_13.jpg   	thebodyshop              	0.9983
demo_image/demo_14.jpg   	cafrepascucci            	0.4003
demo_image/demo_15.jpg   	mart                     	1.0000
demo_image/demo_16.png   	text                     	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9533
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8386
demo_image/demo_9.jpg    	bally                    	0.7566
demo_image/demo_10.jpg   	university               	0.9998
demo_image/demo_11.jpg   	alithletop               	0.0369
demo_image/demo_12.jpg   	abc                      	1.0000
demo_image/demo_13.jpg   	thebodyshop              	0.9983
demo_image/demo_14.jpg   	cafrepascucci            	0.4003
demo_image/demo_15.jpg   	mart                     	1.0000
demo_image/demo_16.png   	text                     	1.0000
--------------------------------------------------------------------------------
image_path               	predicted_labels         	confidence score
--------------------------------------------------------------------------------
demo_image/demo_1.png    	available                	0.9999
demo_image/demo_2.jpg    	shakeshack               	0.9533
demo_image/demo_3.png    	london                   	0.9840
demo_image/demo_4.png    	greenstead               	0.9985
demo_image/demo_5.png    	toast                    	0.9961
demo_image/demo_6.png    	merry                    	0.9975
demo_image/demo_7.png    	underground              	1.0000
demo_image/demo_8.jpg    	ronaldo                  	0.8386
demo_image/demo_9.jpg    	bally                    	0.7566
demo_image/demo_10.jpg   	university               	0.9998
demo_image/demo_11.jpg   	alithletop               	0.0369
demo_image/demo_12.jpg   	abc                      	1.0000
demo_image/demo_13.jpg   	thebodyshop              	0.9983
demo_image/demo_14.jpg   	cafrepascucci            	0.4003
demo_image/demo_15.jpg   	mart                     	1.0000
demo_image/demo_16.png   	text                     	1.0000
demo_image/demo_17.png   	nontingrater             	0.0001
